,Plot,Yr,dwdC.tacre,dwdC.gm2,dwdC.Mgha,AGunderstoryC.tacre,BGunderstoryC.tacre,AGunderstoryC.gm2,BGunderstoryC.gm2,AGunderstoryC.Mgha,BGunderstoryC.Mgha,litterC.tacre,litterC.gm2,litterC.Mgha,foresttype
3067,53738,2015,7.476486,1676.003867,16.76003867,1.09998575,0.12222025,246.5838056,27.39811344,2.465838056,0.2739811344,11.2917365,2531.268571,25.31268571,mountain-hemlock
3068,53797,2009,10.636992,2384.494497,23.84494497,0.978196,0.108688,219.2821973,24.36458896,2.192821973,0.2436458896,11.098103,2487.86175,24.8786175,sitka-spruce
3069,53797,2020,12.906071,2893.153936,28.93153936,0.93644,0.104049,209.9217548,23.32466433,2.099217548,0.2332466433,11.081607,2484.163841,24.84163841,sitka-spruce
3070,53799,1996,2.493035,558.863656,5.58863656,1.197548,0.133061,268.4543352,29.82828437,2.684543352,0.2982828437,21.363046,4788.954022,47.88954022,alaska-yellow-cedar
3071,53799,2007,3.905189,875.4262181,8.754262181,1.112696,0.123633,249.4330623,27.71480961,2.494330623,0.2771480961,11.363018,2547.247745,25.47247745,alaska-yellow-cedar
3072,53799,2018,3.797225,851.2239283,8.512239283,1.117815,0.124202,250.5805886,27.84236234,2.505805886,0.2784236234,11.344045,2542.994568,25.42994568,alaska-yellow-cedar
3073,53854,1999,0.748889,167.8784471,1.678784471,1.742479,0.193609,390.6115174,43.40132953,3.906115174,0.4340132953,14.599877,3272.854427,32.72854427,mountain-hemlock
3074,53854,2004,1.021675,229.0288848,2.290288848,1.471086,0.163454,329.7733486,36.64148318,3.297733486,0.3664148318,16.014496,3589.969568,35.89969568,mountain-hemlock
3075,53854,2015,1.615167,362.0719864,3.620719864,1.315194,0.146133,294.827039,32.75863461,2.94827039,0.3275863461,17.692323,3966.088047,39.66088047,mountain-hemlock
3076,53881,1995,1.608752268,360.6339959,3.606339959,0.079789132,0.008865476,17.88632972,1.987373755,0.1788632972,0.01987373755,1.215158528,272.4020872,2.724020872,mountain-hemlock
3077,53881,2007,2.04197444,457.7494102,4.577494102,0.1021402721,0.01134895854,22.8967848,2.544096037,0.228967848,0.02544096037,1.204751128,270.0690604,2.700690604,mountain-hemlock
3078,53881,2018,2.401604143,538.3676008,5.383676008,0.1203188997,0.01336876663,26.97188773,2.996876415,0.2697188773,0.02996876415,1.246358181,279.3961135,2.793961135,mountain-hemlock
3079,53902,1996,5.728099,1284.067953,12.84067953,1.04509,0.116121,234.2778253,26.03084457,2.342778253,0.2603084457,20.461275,4586.804017,45.86804017,mountain-hemlock
3080,53902,2005,8.343755,1870.419558,18.70419558,0.98265,0.109183,220.2806505,24.47555311,2.202806505,0.2447555311,11.463483,2569.768984,25.69768984,mountain-hemlock
3081,53902,2016,11.267843,2525.912365,25.25912365,0.935468,0.103941,209.7038616,23.30045397,2.097038616,0.2330045397,12.23195,2742.036232,27.42036232,mountain-hemlock
3082,53945,2007,1.406127,315.2114896,3.152114896,1.34388,0.14932,301.2575796,33.4730644,3.012575796,0.334730644,13.245338,2969.207419,29.69207419,mountain-hemlock
3083,53945,2018,1.513991,339.3913625,3.393913625,1.317627,0.146403,295.3724446,32.81916051,2.953724446,0.3281916051,13.166073,2951.438584,29.51438584,mountain-hemlock
3084,54069,1995,2.752055,616.9281694,6.169281694,1.178383,0.130931,264.1581171,29.35080227,2.641581171,0.2935080227,20.633356,4625.379415,46.25379415,alaska-yellow-cedar
3085,54069,2005,3.723958,834.7996649,8.347996649,1.121399,0.1246,251.3840138,27.931582,2.513840138,0.27931582,11.021211,2470.62487,24.7062487,alaska-yellow-cedar
3086,54069,2016,3.547871,795.3262421,7.953262421,1.130317,0.125591,253.3831619,28.15373447,2.533831619,0.2815373447,11.022613,2470.939156,24.70939156,alaska-yellow-cedar
3087,54072,2005,4.437699,994.7989848,9.947989848,0.22271875,0.0247465,49.92686219,5.547422905,0.4992686219,0.05547422905,4.02972075,903.3425005,9.033425005,mountain-hemlock
3088,54234,2011,1.7054355,382.307476,3.82307476,1.709972,0.189997,383.3244232,42.59162749,3.833244232,0.4259162749,7.7102385,1728.404165,17.28404165,alaska-yellow-cedar
3089,54295,1995,1.471657364,329.9014313,3.299014313,0.9371992515,0.1041335173,210.0919562,23.34361057,2.100919562,0.2334361057,20.02205427,4488.343905,44.88343905,lodgepole-pine
3090,54295,2009,2.733291,612.7218435,6.127218435,0.667322,0.074147,149.5935727,16.62153299,1.495935727,0.1662153299,10.888742,2440.929294,24.40929294,lodgepole-pine
3091,54295,2020,2.689577,602.9224761,6.029224761,0.672968,0.074774,150.8592366,16.76208758,1.508592366,0.1676208758,10.83858,2429.684479,24.29684479,lodgepole-pine
3092,54301,1998,7.053953,1581.284644,15.81284644,1.065989,0.118443,238.9627541,26.55136731,2.389627541,0.2655136731,26.508187,5942.34028,59.4234028,western-hemlock
3093,54301,2010,12.045053,2700.139531,27.00139531,0.948905,0.105434,212.7160339,23.63513978,2.127160339,0.2363513978,14.452639,3239.848085,32.39848085,western-hemlock
3094,54305,1998,4.793599,1074.581088,10.74581088,1.076187,0.119576,241.2488398,26.80535192,2.412488398,0.2680535192,19.838953,4447.298094,44.47298094,alaska-yellow-cedar
3095,54305,2011,4.240024,950.4861801,9.504861801,1.190933,0.132326,266.9714506,29.66351942,2.669714506,0.2966351942,14.604416,3273.871935,32.73871935,alaska-yellow-cedar
3096,54319,2000,0.5238202816,117.4247925,1.174247925,0.928501728,0.1031666944,208.1422324,23.12687788,2.081422324,0.2312687788,5.528529037,1239.330354,12.39330354,sitka-spruce
3097,54319,2006,0.9881469583,221.5129036,2.215129036,2.050515123,0.2278346107,459.6639752,51.07368467,4.596639752,0.5107368467,7.734187483,1733.772808,17.33772808,sitka-spruce
3098,54319,2017,0.8062400238,180.7348261,1.807348261,1.933951109,0.2148835574,433.5338202,48.17044705,4.335338202,0.4817044705,7.753522015,1738.10703,17.3810703,sitka-spruce
3099,54379,2011,12.28401825,2753.708371,27.53708371,0.665943,0.0739935,149.2844423,16.5871229,1.492844423,0.165871229,7.350825,1647.83444,16.4783444,sitka-spruce
3100,54386,1995,1.384931,310.4599823,3.104599823,1.318552,0.146506,295.5798018,32.84225002,2.955798018,0.3284225002,21.376475,4791.964401,47.91964401,alaska-yellow-cedar
3101,54392,1995,3.918898,878.4993647,8.784993647,1.112079,0.123564,249.2947494,27.69934188,2.492947494,0.2769934188,20.848248,4673.551754,46.73551754,mountain-hemlock
3102,54436,2005,5.799588,1300.093642,13.00093642,1.042948,0.115883,233.7976532,25.97749211,2.337976532,0.2597749211,10.613117,2379.142438,23.79142438,alaska-yellow-cedar
3103,54604,2007,0.184506,41.36071002,0.4136071002,1.883945,0.209327,422.3239507,46.92483359,4.223239507,0.4692483359,9.333356,2092.258415,20.92258415,alaska-yellow-cedar
3104,54604,2018,0.118054,26.46416518,0.2646416518,1.929742,0.214416,432.5902641,48.06563472,4.325902641,0.4806563472,9.38065,2102.860311,21.02860311,alaska-yellow-cedar
3105,54681,1996,1.470981614,329.7499485,3.297499485,1.380494316,0.1533880839,309.4654108,34.38500677,3.094654108,0.3438500677,16.90960382,3790.625887,37.90625887,alaska-yellow-cedar
3106,54681,2010,2.823299556,632.8990615,6.328990615,1.147344561,0.1274828695,257.2002302,28.57783487,2.572002302,0.2857783487,8.138853141,1824.486709,18.24486709,alaska-yellow-cedar
3107,54684,1997,5.821116,1304.919574,13.04919574,1.042312,0.115812,233.655081,25.96157604,2.33655081,0.2596157604,20.739178,4649.101532,46.49101532,alaska-yellow-cedar
